,errors
0,11.420168829248254
1,10.426779234530327
2,10.200344922009508
3,9.986951393518604
4,9.653815782980315
5,9.377405330964438
6,9.62222845397847
7,9.581966395173316
8,9.160668094665608
9,8.990780343356798
10,8.95499380460712
11,8.891045954925316
12,9.018802199406045
13,8.861553505580966
14,8.632778903716664
15,8.375057991335273
16,8.485066171451814
17,8.490707212726974
18,8.214512499521994
19,8.159345347432822
20,8.172756512084263
21,8.079349333913774
22,7.98389550109462
23,7.7517245120872404
24,7.592399628269688
25,7.423824095982654
26,7.1234548888908265
27,6.929839000897789
28,6.873632717468156
29,6.846389159514178
30,6.857173630622621
31,6.654805295154071
32,6.916618457777642
33,6.651527375586399
34,6.3048161152573385
35,6.168241056258364
36,5.985618420231037
37,5.564130415808078
38,5.4699535555272245
39,5.450572723321927
40,5.477303613773107
41,5.180637139298998
42,5.055440976680673
43,4.7007008186635675
44,4.472700176943384
45,4.233293523638346
46,4.17054993250749
47,4.142673191233881
48,4.087054306912323
49,4.071119242601137
50,4.0774378458362035
51,3.9813437390813644
52,3.7869570716630157
53,3.6799109253722455
54,3.5787679640253756
55,3.472459341705972
56,3.3181443403063224
57,3.1800052506169783
58,3.0890200702182513
59,3.0927042922705534
60,3.107365036301325
61,2.967067959986507
62,2.797491452777058
63,2.7096315402407423
64,2.6162333592778038
65,2.5510484822693034
66,2.42489434042576
67,2.372934354968702
68,2.353152198072136
69,2.3410429158827153
70,2.347095620124962
71,2.1566898301138515
72,2.0804440746882564
73,2.0379253694249075
74,1.9672502451499299
75,1.9580944746902487
76,2.004025390611805
77,2.0254260305808143
78,2.164953192202986
79,2.0938716443183085
80,2.050942689804611
81,1.9902201382696951
82,1.9174823935191858
83,1.8879432009604449
84,1.8191485330113533
85,1.7866777158626908
86,1.782723190784967
87,1.7252738214769001
88,1.715826318830507
89,1.6986193733377148
90,1.6881975628070804
91,1.617301962343283
92,1.6134966487581244
93,1.5813243483583692
94,1.5647620693598945
95,1.5520055599590414
96,1.562287626854027
97,1.5493981153063743
98,1.5417425450159783
99,1.5401397253634497
100,1.5327122857275013
