,errors
0,11.420168829248254
1,9.491970785785131
2,6.291073203675973
3,5.640490027146306
4,3.761788146609676
5,3.478601502722801
6,2.8550993012712302
7,3.0700150651177003
8,2.8937031150156622
9,2.854209652384939
10,2.8215957016710047
11,2.8145838906481773
12,2.584319739276476
13,2.436992810404519
14,2.3219736361504038
15,2.1331540212586506
16,2.0604876984875578
17,2.0173616010959643
18,1.9928068700397077
19,2.037181979654883
20,2.0398472057387833
21,1.9322090708023685
22,1.8494722521502627
23,1.8377758718013808
24,1.8113583244368934
25,1.8041009000796393
26,1.7042902386382863
27,1.680576979032175
28,1.5526321111417067
29,1.545767074347331
30,1.508065880490812
31,1.4916661317982916
32,1.4138312253879308
33,1.3823549803989343
34,1.3762527878192146
35,1.3191228590143973
36,1.3121325264161567
37,1.2865212084016957
38,1.2581567769921573
39,1.2553074791339494
40,1.2580857743340728
41,1.2008928811859072
42,1.1966986979198615
43,1.1353270030667788
44,1.1163598986408318
45,1.1273790345206807
46,1.1065052420707024
47,1.0991587162629577
48,1.0981477234207468
49,1.0964859107334521
50,1.100244714312767
51,1.0965359851555343
52,1.0810734746940283
53,1.089681888101437
54,1.0817378298916862
55,1.0772878537982198
56,1.0741910777475434
57,1.0485090773694545
58,1.0283563986102375
59,1.028120485623663
60,1.0301668660907546
61,1.0222394589952326
62,0.9853825777295515
63,0.9875516245975166
64,0.9875299848136655
65,0.981404245521563
66,0.9787292914445285
67,0.9762099020675948
68,0.9737911955366062
69,0.9717361204134694
70,0.9730202187612567
71,0.964511099344811
72,0.9625780887093288
73,0.961608502500312
74,0.9191074614043578
75,0.9174088388386051
76,0.9165219632524751
77,0.9122767552942275
78,0.9140779414849797
79,0.9114364109380535
80,0.9149307713873879
81,0.9149089871528943
82,0.9212838136109428
83,0.9172166568195993
84,0.9095943342855586
85,0.9084015702975435
86,0.9119472888393849
87,0.9005503286994305
88,0.9025944245942293
89,0.9005789615205012
90,0.9031425390090538
91,0.9064561486714727
92,0.897687592347871
93,0.892053985508806
94,0.9016145094162824
95,0.8970561293726546
96,0.890777430178882
97,0.8922998161971849
98,0.8905453519789703
99,0.8899344746847418
100,0.8954684059571056
